#KO	Bran_1	Bran_2	PS_2	PS_3	CO_2	CO_3	Faeces_BR	Faeces_PS
K01055	1	0	0	0	1	1	0	1
K01056	3	2	4	2	1	2	5	2
K01057	0	1	0	0	0	0	0	2
K01058	1	1	1	1	1	1	1	0
K01060	0	0	1	1	1	0	0	0
K01061	1	4	1	0	3	1	0	2
K01066	1	1	1	1	0	1	2	1
K01069	4	2	2	2	2	1	1	5
K01070	0	1	0	0	0	0	0	2
K01077	1	1	1	0	0	0	0	1
K01079	3	2	0	1	1	0	0	0
K01082	1	2	1	0	1	0	2	1
K01085	2	1	0	0	1	0	0	0
K01087	1	1	1	0	1	1	0	0
K01089	2	1	0	1	1	2	3	0
K01091	3	2	0	3	1	2	1	3
K01092	1	0	1	0	2	2	1	1
K01093	1	0	0	0	1	0	1	0
K01095	2	0	2	3	1	1	0	1
K01096	1	0	0	0	2	1	1	0
K01101	0	0	1	3	0	0	1	1
K01104	3	2	2	6	4	0	0	2
K01113	0	0	1	0	0	0	0	0
K01118	1	1	1	2	3	2	3	1
K01119	2	1	1	0	1	0	2	0
K01126	3	3	3	7	2	1	4	3
K01129	3	2	1	0	1	1	2	3
K01138	1	0	0	0	1	1	1	0
K01139	1	2	1	2	2	0	2	0
K01141	1	0	0	0	0	2	2	0
K01142	2	2	1	2	0	2	3	7
K01146	1	1	1	0	1	2	0	0
K01147	1	1	0	0	2	1	1	0
K01150	1	1	0	0	1	1	0	1
K01151	2	2	1	2	1	0	1	2
K01153	2	2	6	5	3	0	1	1
K01154	1	0	3	4	0	0	0	0
K01156	0	1	1	1	0	0	0	0
K01159	2	1	1	1	1	0	0	4
K01160	0	0	1	0	0	0	2	0
K01167	0	1	0	0	0	0	0	0
K01169	0	0	0	0	2	0	0	0
K01173	0	1	0	0	0	0	0	0
K01174	0	0	0	0	1	0	0	0
K01175	2	2	0	0	1	0	1	0
K01176	1	3	0	1	1	0	2	0
K01181	0	0	0	0	0	0	0	1
K01183	0	1	0	1	1	1	2	0
K01185	5	5	2	0	4	3	6	0
K01187	1	1	0	0	1	1	1	0
K01190	2	2	1	0	2	2	0	1
K01191	0	0	0	1	3	2	0	1
K01193	0	0	0	1	5	2	2	0
K01194	2	3	0	0	1	3	3	0
K01198	0	0	2	1	2	0	2	2
K01200	0	0	1	1	1	0	0	0
K01201	0	0	0	0	0	0	0	1
K01206	0	0	1	4	1	4	0	3
K01207	2	2	2	1	2	2	0	4
K01208	0	0	3	2	1	0	1	0
K01209	0	0	3	5	2	1	0	1
K01214	0	1	0	0	0	1	0	0
K01215	0	0	1	1	1	0	0	0
K01218	0	0	0	0	0	0	0	1
K01222	0	3	0	1	2	1	1	0
K01223	5	8	13	13	16	7	16	2
K01226	0	1	0	0	0	0	0	0
K01227	0	0	0	1	1	0	0	0
K01232	0	0	0	1	0	0	1	0
K01235	0	0	0	0	1	0	0	0
K01236	0	2	0	0	0	0	0	0
K01239	3	0	2	2	1	1	2	2
K01241	2	2	0	0	1	2	0	1
K01243	2	4	1	2	2	0	1	1
K01246	2	1	2	2	2	4	1	1
K01247	0	0	0	0	0	0	0	1
K01250	0	0	0	0	0	0	1	0
K01251	1	0	0	0	0	0	1	3
K01252	1	2	0	0	1	2	0	1
K01255	2	3	0	0	2	2	2	3
K01256	1	2	0	0	0	1	0	2
K01258	2	3	2	3	3	3	2	3
K01261	1	0	1	3	1	0	2	1
K01262	2	1	0	0	1	1	0	1
K01265	3	1	3	2	2	2	5	2
K01270	4	1	1	1	1	2	2	1
K01271	0	0	5	6	3	0	1	1
K01273	1	1	0	0	1	2	0	3
K01278	0	0	0	0	0	0	0	1
K01281	2	0	1	1	0	0	1	1
K01284	1	2	1	0	0	0	1	1
K01286	0	0	0	0	0	0	0	2
K01295	0	0	0	0	1	1	1	1
K01297	2	1	0	0	1	2	0	2
K01299	2	1	1	1	1	3	1	0
K01302	0	0	0	0	0	0	0	2
K01303	0	0	0	0	1	0	0	3
K01304	0	1	1	1	1	1	0	0
K01305	0	1	0	0	1	1	0	0
