Taxonomy,Bran_1,Bran_2,Bran_3,PS_1,PS_2,PS_3,CO_1,CO_2,CO_3
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Micrococcaceae;g__Pseudarthrobacter;s__,0,0,0,0,1,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Micrococcaceae;g__Pseudarthrobacter;s__Pseudarthrobacter_oxydans,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Micrococcaceae;g__Pseudarthrobacter;s__uncultured_bacterium_graftm_474,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Micrococcaceae;g__Rothia;s__,0,0,0,0,3,1,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Micrococcaceae;g__Rothia;s__uncultured_bacterium_graftm_685,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Micrococcaceae;g__uncultured_graftm_322;s__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Micrococcaceae;g__uncultured_graftm_322;s__uncultured_bacterium_graftm_1846,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Promicromonosporaceae;g__Cellulosimicrobium;s__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Promicromonosporaceae;g__Isoptericola;s__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Micrococcales;f__Sanguibacteraceae;g__Sanguibacter;s__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Propionibacteriales;f__Nocardioidaceae;g__;s__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Propionibacteriales;f__Nocardioidaceae;g__Aeromicrobium;s__,0,0,0,0,2,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Propionibacteriales;f__Nocardioidaceae;g__Aeromicrobium;s__uncultured_bacterium_graftm_678,0,0,0,0,2,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Propionibacteriales;f__Nocardioidaceae;g__Mumia;s__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__Nocardioides_sp.,0,0,0,0,1,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__uncultured_bacterium_graftm_160,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Propionibacteriales;f__Propionibacteriaceae;g__Luteococcus;s__uncultured_bacterium_graftm_2634,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Actinophytocola;s__uncultured_bacterium_graftm_2710,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Crossiella;s__uncultured_bacterium_graftm_1544,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Saccharopolyspora;s__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Streptomycetales;f__Streptomycetaceae;g__;s__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinobacteria;c__Actinobacteria_graftm_1;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__;f__;g__;s__,1,0,0,0,1,0,0,0,0
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Dysgonomonas;s__,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Dysgonomonas;s__uncultured_Porphyromonadaceae_bacterium_graftm_4,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Flavobacteriales;f__;g__;s__,1,2,0,0,0,0,0,0,0
d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Flavobacteriales;f__Blattabacteriaceae;g__Candidatus_Sulcia;s__,0,0,0,0,0,0,0,0,0
